Word1	Word2	POS	Sim	Sim1	Sim2	Cosin	Pearsonr	Spearmanr	STD
chuyển_nhượng	phát_mại	V	0.52	3.13	5.22	0.59	[0.18, 0.03]	[0.19, 0.02]	0.96
vòng_tay	trang_sức	N	0.69	4.13	6.88	0.56	[0.11, 0.18]	[0.1, 0.21]	1.15
đổ_bê_tông	chăm_sóc	V	0.19	1.13	1.88	0.53	[0.06, 0.5]	[0.05, 0.56]	1.2
kín	phát	V	0.13	0.8	1.33	0.51	[0.02, 0.8]	[0.04, 0.59]	0.91
người_tình	chiến_sĩ	N	0.48	2.87	4.78	0.55	[0.11, 0.17]	[0.1, 0.21]	0.88
cuối	đầu	N	0.09	0.53	0.88	0.82	[0.64, 0.0]	[0.65, 0.0]	0.72
cần_tây	đậu_bắp	N	0.49	2.93	4.88	0.78	[0.56, 0.0]	[0.53, 0.0]	0.77
định_kì	bất_thường	N	0.11	0.67	1.12	0.58	[0.16, 0.06]	[0.12, 0.15]	1.14
thiện_chí	ác_ý	N	0.1	0.6	1.0	0.65	[0.31, 0.0]	[0.3, 0.0]	0.88
biên_cương	biên_giới	N	0.89	5.33	8.88	0.68	[0.36, 0.0]	[0.36, 0.0]	0.6
sông	cửa_sông	N	0.45	2.67	4.45	0.82	[0.64, 0.0]	[0.63, 0.0]	1.14
tím	bẹp	A	0.12	0.73	1.22	0.55	[0.11, 0.19]	[0.08, 0.32]	1.06
năm_âm_lịch	tháng_âm_lịch	N	0.4	2.4	4.0	0.79	[0.56, 0.0]	[0.48, 0.0]	0.88
đỡ_đần	suy_xét	V	0.12	0.73	1.22	0.58	[0.16, 0.05]	[0.15, 0.07]	1.06
bầm	mệ	N	0.93	5.6	9.33	0.52	[0.05, 0.53]	[0.06, 0.47]	0.61
dáng	tản_bộ	N	0.62	3.73	6.22	0.55	[0.1, 0.23]	[0.12, 0.13]	0.93
sinh_vật	tế_bào	N	0.47	2.8	4.67	0.75	[0.5, 0.0]	[0.49, 0.0]	0.75
giở_quẻ	giở_chứng	V	0.91	5.47	9.12	NaN	NaN	NaN	0.62
nhau	rau	N	0.79	4.73	7.88	0.56	[0.12, 0.15]	[0.11, 0.2]	0.68
đồng_tình	phản_đối	A	0.11	0.67	1.12	0.65	[0.29, 0.0]	[0.29, 0.0]	0.94
thanh	dụng_cụ	N	0.51	3.07	5.12	0.57	[0.15, 0.07]	[0.17, 0.03]	0.68
điệu	háo	A	0.17	1.0	1.67	0.55	[0.11, 0.18]	[0.08, 0.31]	1.21
tử_trận	tiếp_sức	V	0.07	0.4	0.67	0.54	[0.07, 0.37]	[0.08, 0.35]	0.71
trù_dập	trù_úm	V	0.9	5.4	9.0	0.8	[0.59, 0.0]	[0.61, 0.0]	0.71
tứ_kết	trận_đấu	N	0.58	3.47	5.78	0.7	[0.4, 0.0]	[0.38, 0.0]	1.02
tình_ca	ca_khúc	N	0.61	3.67	6.12	0.74	[0.49, 0.0]	[0.5, 0.0]	1.25
báo_ân	trả_thù	V	0.18	1.07	1.78	0.54	[0.09, 0.26]	[0.15, 0.08]	1.18
vững_tâm	vững_lòng	A	0.92	5.53	9.22	0.71	[0.41, 0.0]	[0.37, 0.0]	0.72
cũ_rích	mới_mẻ	A	0.11	0.67	1.12	0.6	[0.19, 0.02]	[0.16, 0.05]	0.79
lành	kẹt	A	0.05	0.27	0.45	0.51	[0.02, 0.79]	[0.05, 0.52]	0.44
tù	ngục	N	0.92	5.53	9.22	0.65	[0.31, 0.0]	[0.29, 0.0]	0.88
chủ_nghĩa_hình_thức	đức_tính	N	0.21	1.27	2.12	NaN	NaN	NaN	1.34
dày_cộp	mỏng_tang	A	0.08	0.47	0.78	0.66	[0.32, 0.0]	[0.27, 0.0]	0.72
cây_trồng	thầy_thuốc_nhân_dân	N	0.14	0.87	1.45	0.55	[0.09, 0.29]	[0.06, 0.46]	0.96
điều_hành	lục_lọi	N	0.41	2.47	4.12	0.51	[0.01, 0.89]	[0.04, 0.59]	0.72
dáng_bộ	dáng_điệu	N	0.83	5.0	8.33	NaN	NaN	NaN	1.21
tự_do	phần_cứng	N	0.08	0.47	0.78	0.5	[-0.0, 0.98]	[0.03, 0.75]	0.62
thu_ngân	dân_cư	N	0.41	2.47	4.12	0.55	[0.11, 0.18]	[0.15, 0.07]	1.2
cắt	tẩm	V	0.05	0.27	0.45	0.55	[0.11, 0.2]	[0.07, 0.4]	0.57
nghị_quyết	tài_liệu	N	0.58	3.47	5.78	0.58	[0.16, 0.05]	[0.12, 0.13]	0.81
ăn_nhậu	nhậu_nhẹt	V	0.74	4.47	7.45	0.86	[0.73, 0.0]	[0.7, 0.0]	0.62
gắn_kết	liên_kết	V	0.91	5.47	9.12	0.84	[0.69, 0.0]	[0.63, 0.0]	0.88
máy_tính	bộ_vi_xử_lý	N	0.45	2.67	4.45	0.75	[0.51, 0.0]	[0.47, 0.0]	0.79
cải_thiện	thuần_hoá	V	0.37	2.2	3.67	0.61	[0.21, 0.01]	[0.24, 0.0]	0.83
năng_lực	tột_độ	N	0.29	1.73	2.88	0.49	[-0.01, 0.86]	[0.01, 0.91]	0.68
an_dưỡng	tĩnh_dưỡng	V	0.85	5.13	8.55	0.77	[0.55, 0.0]	[0.47, 0.0]	1.09
di_chuyển	dời	N	0.88	5.27	8.78	0.67	[0.34, 0.0]	[0.33, 0.0]	0.68
ngoài	trong	N	0.1	0.6	1.0	0.56	[0.12, 0.14]	[0.14, 0.09]	0.71
cặp	đôi	N	0.96	5.73	9.55	0.69	[0.37, 0.0]	[0.36, 0.0]	0.57
cẳng	bắp_chân	N	0.47	2.8	4.67	0.65	[0.3, 0.0]	[0.29, 0.0]	0.65
chiến_tranh	hoà_bình	N	0.08	0.47	0.78	0.67	[0.35, 0.0]	[0.38, 0.0]	0.62
đau_đớn	làm_phiền	V	0.87	5.2	8.67	0.53	[0.07, 0.4]	[0.08, 0.31]	0.83
gia_tăng	lạm_phát	V	0.45	2.67	4.45	0.6	[0.2, 0.01]	[0.17, 0.03]	1.07
thói	thái_độ	N	0.43	2.6	4.33	0.72	[0.44, 0.0]	[0.41, 0.0]	1.25
mô_hình	cấu_trúc	N	0.68	4.07	6.78	0.71	[0.42, 0.0]	[0.34, 0.0]	0.85
mạo_danh	lừa_đảo	V	0.74	4.47	7.45	0.8	[0.61, 0.0]	[0.58, 0.0]	1.09
sếp	lãnh_đạo	N	0.71	4.27	7.12	0.66	[0.33, 0.0]	[0.29, 0.0]	0.77
thẻ	kỉ_vật	N	0.43	2.6	4.33	0.56	[0.11, 0.17]	[0.09, 0.28]	0.95
hỏi	đáp	V	0.11	0.67	1.12	0.7	[0.4, 0.0]	[0.37, 0.0]	0.87
tản_bộ	di_chuyển	V	0.58	3.47	5.78	0.69	[0.39, 0.0]	[0.32, 0.0]	0.96
chuệch_choạc	chệch_choạc	A	0.92	5.53	9.22	0.89	[0.77, 0.0]	[0.72, 0.0]	0.5
dương_gian	âm_phủ	N	0.09	0.53	0.88	NaN	NaN	NaN	0.62
giải_thích	ngấm	V	0.08	0.47	0.78	0.55	[0.09, 0.27]	[0.09, 0.28]	0.72
mách	mách_nước	V	0.7	4.2	7.0	0.77	[0.52, 0.0]	[0.51, 0.0]	0.91
nước_lớn	xuất_xứ	N	0.17	1.0	1.67	0.54	[0.08, 0.31]	[0.08, 0.34]	1.21
số_hoá	hoá_lỏng	V	0.27	1.6	2.67	0.57	[0.14, 0.09]	[0.12, 0.15]	0.61
dận	nhấn	V	0.78	4.67	7.78	NaN	NaN	NaN	0.79
hơi_hướng	hơi_hám	N	0.12	0.73	1.22	NaN	NaN	NaN	0.77
cắt_giảm	trừ_khử	V	0.09	0.53	0.88	0.58	[0.16, 0.05]	[0.16, 0.05]	0.96
nhạc_nhẹ	cung_bậc	N	0.23	1.4	2.33	0.58	[0.17, 0.04]	[0.17, 0.04]	1.2
túm_tụm	quần_tụ	V	0.83	5.0	8.33	0.67	[0.34, 0.0]	[0.31, 0.0]	0.82
giở_mặt	lật_lọng	V	0.83	5.0	8.33	NaN	NaN	NaN	1.26
thị_giác	võng_mạc	N	0.48	2.87	4.78	0.73	[0.45, 0.0]	[0.44, 0.0]	0.72
người_làm	dân_chơi	N	0.35	2.13	3.55	0.58	[0.15, 0.06]	[0.12, 0.16]	1.09
phân_chia	phân_bổ	N	0.85	5.07	8.45	0.76	[0.53, 0.0]	[0.53, 0.0]	0.77
xâm_nhập	xuyên	V	0.7	4.2	7.0	0.6	[0.2, 0.01]	[0.14, 0.1]	0.98
thuộc_hạ	người_lớn	N	0.32	1.93	3.22	0.6	[0.21, 0.01]	[0.2, 0.01]	0.93
dịch_chuyển	tham_gia	V	0.22	1.33	2.22	0.52	[0.03, 0.68]	[0.04, 0.6]	0.79
bơi	ngụp	V	0.58	3.47	5.78	0.72	[0.44, 0.0]	[0.4, 0.0]	1.36
cư_dân	người_dân	N	0.94	5.67	9.45	0.79	[0.58, 0.0]	[0.56, 0.0]	0.6
khoan_thai	ung_dung	A	0.88	5.27	8.78	0.66	[0.31, 0.0]	[0.31, 0.0]	0.85
xe_tải	nóc	N	0.26	1.53	2.55	0.57	[0.13, 0.1]	[0.09, 0.25]	1.02
mùa_đông	đông_chí	N	0.45	2.67	4.45	0.67	[0.33, 0.0]	[0.31, 0.0]	0.7
lạc_hậu	tiên_tiến	A	0.09	0.53	0.88	0.65	[0.3, 0.0]	[0.27, 0.0]	0.62
chọc_ghẹo	biếu_xén	V	0.11	0.67	1.12	0.63	[0.25, 0.0]	[0.23, 0.0]	0.94
nền	cận_cảnh	N	0.3	1.8	3.0	0.44	[-0.12, 0.14]	[-0.14, 0.1]	0.75
sư_tử	lăng_kính	N	0.13	0.8	1.33	0.5	[0.01, 0.91]	[-0.05, 0.57]	1.17
bẫy	cạm	N	0.83	5.0	8.33	NaN	NaN	NaN	0.63
nhảy_múa	nhẩy_múa	V	0.77	4.6	7.67	NaN	NaN	NaN	0.95
minh_oan	phá_vây	V	0.06	0.33	0.55	NaN	NaN	NaN	0.47
nguyên_nhân	nguyên_do	N	0.99	5.93	9.88	0.91	[0.82, 0.0]	[0.81, 0.0]	0.25
dữ	hiền	A	0.13	0.8	1.33	0.58	[0.15, 0.07]	[0.17, 0.04]	1.28
phần_phụ	bộ_phận	N	0.68	4.07	6.78	0.6	[0.18, 0.02]	[0.15, 0.06]	0.85
anh_dũng	dũng_mãnh	A	0.85	5.13	8.55	0.57	[0.15, 0.07]	[0.14, 0.08]	0.72
buôn_bán	vận_tải	N	0.4	2.4	4.0	0.6	[0.19, 0.02]	[0.19, 0.02]	0.8
khấp_khểnh	gập_ghềnh	A	0.91	5.47	9.12	NaN	NaN	NaN	0.72
đâm_sầm	phóng	V	0.57	3.4	5.67	0.66	[0.32, 0.0]	[0.27, 0.0]	1.31
bò	đi	V	0.43	2.6	4.33	0.5	[-0.0, 0.99]	[-0.02, 0.81]	1.02
yểm_hộ	yểm_trợ	V	0.83	5.0	8.33	NaN	NaN	NaN	0.89
vòng_vòng	ngoại_tiếp	A	0.3	1.8	3.0	NaN	NaN	NaN	1.28
nội_tiết	luồng	N	0.18	1.07	1.78	0.5	[0.0, 0.96]	[0.01, 0.87]	1.06
dị_ứng	lương_tri	N	0.06	0.33	0.55	0.49	[-0.01, 0.88]	[0.0, 0.99]	0.6
trẩy_hội	ứng_chiến	V	0.09	0.53	0.88	NaN	NaN	NaN	0.72
vặn	vặn_vẹo	V	0.69	4.13	6.88	0.67	[0.33, 0.0]	[0.34, 0.0]	1.15
lùng_bùng	vắng_ngắt	A	0.27	1.6	2.67	0.59	[0.18, 0.03]	[0.18, 0.03]	1.14
chê	khen	V	0.02	0.13	0.22	0.63	[0.26, 0.0]	[0.21, 0.01]	0.34
tượng_đài	bảng_tổng_sắp	N	0.13	0.8	1.33	0.53	[0.06, 0.43]	[0.08, 0.35]	1.05
người_yêu	tình_nhân	N	0.5	3.0	5.0	0.7	[0.41, 0.0]	[0.36, 0.0]	1.1
thiện_cảm	ác_cảm	N	0.09	0.53	0.88	0.8	[0.59, 0.0]	[0.53, 0.0]	0.72
trau_chuốt	phát_triển	V	0.34	2.07	3.45	0.57	[0.13, 0.12]	[0.14, 0.1]	0.93
gươm	lưỡi	N	0.23	1.4	2.33	0.63	[0.25, 0.0]	[0.25, 0.0]	1.02
bánh_xe	vành	N	0.43	2.6	4.33	0.73	[0.46, 0.0]	[0.42, 0.0]	0.95
tượng_đài	phân_bón	N	0.01	0.07	0.12	0.46	[-0.09, 0.3]	[-0.05, 0.51]	0.25
nạc	búi	A	0.1	0.6	1.0	0.57	[0.15, 0.08]	[0.14, 0.09]	0.8
khung_thành	cầu_môn	N	0.9	5.4	9.0	0.95	[0.91, 0.0]	[0.9, 0.0]	1.25
kĩ	sơ_sài	A	0.03	0.2	0.33	0.68	[0.36, 0.0]	[0.37, 0.0]	0.4
buồn	vui	A	0.03	0.2	0.33	0.82	[0.63, 0.0]	[0.58, 0.0]	0.54
nhược_điểm	ưu_điểm	N	0.06	0.33	0.55	0.85	[0.7, 0.0]	[0.68, 0.0]	0.79
quan_hệ	trạng_thái	N	0.46	2.73	4.55	0.59	[0.18, 0.03]	[0.17, 0.04]	0.68
đong_đưa	vung_vẩy	V	0.66	3.93	6.55	0.69	[0.37, 0.0]	[0.33, 0.0]	1.24
bừa_bãi	gọn_ghẽ	A	0.05	0.27	0.45	0.58	[0.16, 0.05]	[0.14, 0.08]	0.44
nghiêm_lệnh	đồng_dao	N	0.18	1.07	1.78	NaN	NaN	NaN	1.06
nhà_thơ	thi_nhân	N	0.81	4.87	8.12	0.83	[0.65, 0.0]	[0.66, 0.0]	0.81
máy_tính	vi_xử_lý	N	0.4	2.4	4.0	0.72	[0.43, 0.0]	[0.42, 0.0]	0.61
né_tránh	hích	V	0.43	2.6	4.33	0.54	[0.09, 0.29]	[0.07, 0.4]	1.14
địch	ta	N	0.06	0.33	0.55	0.67	[0.34, 0.0]	[0.34, 0.0]	0.7
lưu_thông	ách_tắc	V	0.09	0.53	0.88	0.65	[0.31, 0.0]	[0.3, 0.0]	1.02
thứ_yếu	rộng_rãi	A	0.03	0.2	0.33	0.52	[0.04, 0.59]	[0.05, 0.57]	0.4
đặt_chân	thay	V	0.55	3.27	5.45	0.6	[0.22, 0.01]	[0.24, 0.0]	1.24
dì_ghẻ	phụ_huynh	N	0.63	3.8	6.33	0.62	[0.24, 0.0]	[0.23, 0.01]	0.91
rỗi	rỗi_rãi	A	0.92	5.53	9.22	0.76	[0.52, 0.0]	[0.51, 0.0]	0.72
tái_phát	nhiễm_khuẩn	V	0.14	0.87	1.45	0.7	[0.41, 0.0]	[0.42, 0.0]	0.72
mầm	rau_quả	N	0.59	3.53	5.88	0.6	[0.2, 0.01]	[0.19, 0.02]	1.02
hạn_hán	lụt_lội	N	0.06	0.33	0.55	0.84	[0.68, 0.0]	[0.64, 0.0]	0.6
lưỡng_lự	dứt_khoát	V	0.05	0.27	0.45	0.62	[0.23, 0.0]	[0.23, 0.0]	0.57
tung	cấp_phát	V	0.66	3.93	6.55	0.59	[0.18, 0.02]	[0.16, 0.05]	0.68
giầu	khó	A	0.09	0.53	0.88	0.57	[0.14, 0.09]	[0.16, 0.05]	0.72
làm_đẹp	cải_tạo	V	0.4	2.4	4.0	0.59	[0.18, 0.03]	[0.15, 0.06]	1.02
ban_mai	sớm_mai	N	0.9	5.4	9.0	0.74	[0.49, 0.0]	[0.45, 0.0]	1.08
quỳ	ví	V	0.17	1.0	1.67	0.53	[0.06, 0.47]	[0.05, 0.53]	1.26
bại_lộ	lộ	V	0.85	5.07	8.45	0.74	[0.47, 0.0]	[0.45, 0.0]	1.24
tính_cách	phẩm_chất	N	0.73	4.4	7.33	0.75	[0.49, 0.0]	[0.49, 0.0]	1.14
triều_đại	cổ_đại	N	0.61	3.67	6.12	0.64	[0.28, 0.0]	[0.27, 0.0]	1.14
cõi_dương	cõi_âm	N	0.1	0.6	1.0	NaN	NaN	NaN	1.2
lình_xình	nặng_tình	A	0.22	1.33	2.22	0.59	[0.17, 0.04]	[0.12, 0.14]	1.14
người_làm	người_bị_hại	N	0.37	2.2	3.67	0.57	[0.13, 0.1]	[0.18, 0.03]	0.83
cõi_tục	trần_gian	N	0.9	5.4	9.0	NaN	NaN	NaN	0.71
chần_chừ	lảo_đảo	V	0.53	3.2	5.33	0.56	[0.12, 0.16]	[0.13, 0.11]	0.98
khử_trùng	sát_trùng	V	0.92	5.53	9.22	0.85	[0.7, 0.0]	[0.7, 0.0]	0.81
