,Word1,Word2,Pos,"Sim1 [0,6]","Sim2 [0,10]","Sim3 [0, 1]","Sim Computed [0, 1]",STD
320,máy_tính,vi_xử_lý,N,2.4,4.0,0.4,0.718623487472828,0.61
321,né_tránh,hích,V,2.6,4.33,0.433,0.5435669870179356,1.14
322,địch,ta,N,0.33,0.55,0.05500000000000001,0.6705184765132809,0.7
323,lưu_thông,ách_tắc,V,0.53,0.88,0.088,0.6473082960980032,1.02
324,thứ_yếu,rộng_rãi,A,0.2,0.33,0.033,0.5192736951128993,0.4
325,đặt_chân,thay,V,3.27,5.45,0.545,0.6031118104705127,1.24
326,dì_ghẻ,phụ_huynh,N,3.8,6.33,0.633,0.6218835176064328,0.91
327,rỗi,rỗi_rãi,A,5.53,9.22,0.922,0.7575832694024924,0.72
328,tái_phát,nhiễm_khuẩn,V,0.87,1.45,0.145,0.7047580289067903,0.72
329,mầm,rau_quả,N,3.53,5.88,0.588,0.5999733014118662,1.02
330,hạn_hán,lụt_lội,N,0.33,0.55,0.05500000000000001,0.8371079673293501,0.6
331,lưỡng_lự,dứt_khoát,V,0.27,0.45,0.045,0.6153078743548861,0.57
332,tung,cấp_phát,V,3.93,6.55,0.655,0.5917860405620325,0.68
333,giầu,khó,A,0.53,0.88,0.088,0.5684839126936794,0.72
334,làm_đẹp,cải_tạo,V,2.4,4.0,0.4,0.5922950761051079,1.02
335,ban_mai,sớm_mai,N,5.4,9.0,0.9,0.738355908828273,1.08
336,quỳ,ví,V,1.0,1.67,0.16699999999999998,0.5283569150674394,1.26
337,bại_lộ,lộ,V,5.07,8.45,0.845,0.7353835008662245,1.24
338,tính_cách,phẩm_chất,N,4.4,7.33,0.733,0.7472232672139002,1.14
339,triều_đại,cổ_đại,N,3.67,6.12,0.612,0.637187928192447,1.14
340,lình_xình,nặng_tình,A,1.33,2.22,0.22200000000000003,0.5852471037315521,1.14
341,người_làm,người_bị_hại,N,2.2,3.67,0.367,0.5675039593307702,0.83
342,chần_chừ,lảo_đảo,V,3.2,5.33,0.533,0.5564695427294994,0.98
343,khử_trùng,sát_trùng,V,5.53,9.22,0.922,0.852613509024087,0.81
